"","NATURE","NOM","NOM_1_G","usage","nom"
"157","R","VIEUX CHATEAU","R DU VIEUX CHATEAU",NA,"Rachid"
"158","4","MANET","ALL MANET","privé","Rachid"
"162","ALL","PINSONS","ALL DES PINSONS",NA,"Rachid"
"166","R","SOLIDARITE","R DE LA SOLIDARITE",NA,"Rachid"
"167","14","RENE DUMONT","R RENE DUMONT","public","Rachid"
"169","ALL","MONTPLAISIR","ALL MONTPLAISIR",NA,"Rachid"
"170","AV","ANATOLE FRANCE","AV ANATOLE FRANCE",NA,"Rachid"
"172","ALL","RACINE","ALL RACINE",NA,"Rachid"
"174","ALL","JEAN COURTADE","ALL JEAN COURTADE","privé","Rachid"
"175.1","ALL","CONCORDE","ALL DE LA CONCORDE",NA,"Rachid"
"178","R","RUDYARD KIPLING","R RUDYARD KIPLING",NA,"Rachid"
"181","AV","NISE","AV DENISE",NA,"Rachid"
"182","AV","DUMESNIL","AV DUMESNIL",NA,"Rachid"
"185","ALL","SURCOUF","ALL SURCOUF",NA,"Rachid"
"186","R","RENE CHAR","R RENE CHAR",NA,"Rachid"
"187","R","MARCEL DASSAULT","R MARCEL DASSAULT",NA,"Rachid"
"193","AV","JULES FERRY","AV JULES FERRY",NA,"Rachid"
"195.1","R","YVONNE","R YVONNE",NA,"Rachid"
"196","AV","GENEVIEVE ANTHONIOZ DE GAULLE","AV GENEVIEVE ANTHONIOZ DE GAULLE","privé","Rachid"
"197","R","JULES LELONG","R JULES LELONG",NA,"Rachid"
"199","5","RAPHAEL","ALL RAPHAEL","privé","Rachid"
"200","R","MARGUERITE DURAS","R MARGUERITE DURAS",NA,"Rachid"
"204","R","VIEUX MOULIN","R DU VIEUX MOULIN",NA,"Rachid"
"205","IMP","ETIENNE DOLET","R ETIENNE DOLET","privé","Rachid"
"206.1","ALL","PAIX","ALL DE LA PAIX",NA,"Rachid"
"207","R","HENRI DUNANT","R HENRI DUNANT","privé","Rachid"
"209","13","THEODORE MONOD","THEODORE MONOD","public","Rachid"
"211","R","MOLERET","R DU MOLERET",NA,"Rachid"
"214","ALL","COLOMBES","ALL DES COLOMBES",NA,"Rachid"
"215","R","PAULINE ROGER","R PAULINE ROGER",NA,"Rachid"
"216","AV","PLATANES","AV DES PLATANES",NA,"Rachid"
"217","ALL","FURCI","ALL DE FURCI","privé","Rachid"
"219","AV","IDEAL","AV DE L'IDEAL",NA,"Rachid"
"220","AV","REPUBLIQUE","AV DE LA REPUBLIQUE",NA,"Rachid"
"221","R","SIRE LEON","R DESIRE LEON",NA,"Rachid"
"224","ALL","C GOUNOD","ALL C GOUNOD","privé","Rachid"
"225","R","DAVID LEDER","R DAVID LEDER",NA,"Rachid"
"228","CH","MARE A LA VEUVE PROLONGEE","CH DE LA MARE A LA VEUVE PROLONGEE",NA,"Rachid"
"233.1","R","EUGENE MASSON","R EUGENE MASSON",NA,"Rachid"
"234","R","SAINT-LOUIS","R SAINT-LOUIS",NA,"Rachid"
"236","ALL","HETRES","ALL DES HETRES",NA,"Rachid"
"239.1","R","FRATERNITE","R DE LA FRATERNITE",NA,"Rachid"
"241","ALL","MOULIN","ALL DU MOULIN",NA,"Rachid"
"242","RPE","PONT","RPE DU PONT",NA,"Rachid"
"243","R","BORDIER","R BORDIER",NA,"Rachid"
"245","PL","GARE","PL DE LA GARE",NA,"Rachid"
"246","7","MILLET","ALL MILLET","privé","Rachid"
"250","R","BUTTE","R DE LA BUTTE",NA,"Rachid"
"251","AV","NANCY","AV DE NANCY",NA,"Rachid"
"253","IMP","LIBERTE","IMP DE LA LIBERTE",NA,"Rachid"
"257","ALL","MARIE LAURENCIN","ALL MARIE LAURENCIN","privé","Rachid"
"261","IMP","JEAN WIENER","IMP JEAN WIENER",NA,"Rachid"
"263","PL","ALBERT THOMAS","PL ALBERT THOMAS",NA,"Rachid"
"264","IMP","CARNOT","IMP CARNOT",NA,"Rachid"
"266","R","PLAISANCE","R DE PLAISANCE",NA,"Rachid"
"267","R","PROGRES","R DU PROGRES",NA,"Rachid"
"268","ALL","JOACHIM DU BELLAY","ALL JOACHIM DU BELLAY","privé","Rachid"
"269.1","R","GUILLAUME APOLLINAIRE","R GUILLAUME APOLLINAIRE","privé","Rachid"
"271","R","LION","R DU LION",NA,"Rachid"
"274","R","ALEXANDRA DAVID NEEL","R ALEXANDRA DAVID NEEL","privé","Rachid"
"276","9","HAYDN","IMP HAYDN","privé","Rachid"
"277","IMP","JACQUES BREL","IMP JACQUES BREL",NA,"Rachid"
"280","ALL","GROS BUISSON","ALL DU GROS BUISSON",NA,"Rachid"
"282","AV","BLERIOT","AV BLERIOT",NA,"Rachid"
"283","IMP","SOLIDARITE","IMP DE LA SOLIDARITE","privé","Rachid"
"284","ALL","SYLPHES","ALL DES SYLPHES",NA,"Rachid"
"287","R","PAUL ELUARD","R PAUL ELUARD","privé","Rachid"
"288","ALL","BECQUEREL","ALL BECQUEREL",NA,"Rachid"
"290","R","SIMONE DE BEAUVOIR","R SIMONE DE BEAUVOIR","privé","Rachid"
"291","R","JOE CARMAN","R JOE CARMAN",NA,"Rachid"
"294","R","EDOUARD VAILLANT","R EDOUARD VAILLANT",NA,"Rachid"
"296","AV","ESPERANCE","AV DE L'ESPERANCE",NA,"Rachid"
"297","CH","MERLAN","CH DU MERLAN",NA,"Rachid"
"298","10","LOUISE WEISS","ALL LOUISE WEISS","privé","Rachid"
"299.1","R","HENRI ALPY","R HENRI ALPY",NA,"Rachid"
"300","R","GEORGES GRAFF","R GEORGES GRAFF",NA,"Rachid"
"301","R","MARCEL PAUL","R MARCEL PAUL",NA,"Rachid"
"302","AV","CADERAS","AV CADERAS",NA,"Rachid"
"303","R","PEUPLIERS","R DES PEUPLIERS",NA,"Rachid"
"304","12","LOUISE MICHEL","ALL LOUISE MICHEL","piéton","Rachid"
"306","ALL","MUGUET","ALL DU MUGUET",NA,"Rachid"
"308","R","CHAMPART","R DU CHAMPART",NA,"Rachid"
"310","ALL","CORNEILLE","ALL CORNEILLE",NA,"Rachid"
