"","Rue","Peri"
"522","PARISIENNE AVENUE DE LA PARISIENNE","Périmétre : Périmeétre Elémentaire Louis Pasteur Cété pair allant des n° 2 a 28 et cété impair sans les n°"
"523","PARISIENNE AVENUE DE LA PARISIENNE","Périmétre : Périmetre Maternelle Pasteur Cété pair allant des n° 2 a 28 et cdté impair sans les n°"
"524","PARISIENNE AVENUE DE LA PARISIENNE","Périmétre : Périmetre Maternelle Olympe de Gouges Cété pair allant des n° 30 a 34 et tout le coté impair"
"525","PARISIENNE AVENUE DE LA PARISIENNE","Périmétre : Périmetre Elémentaire Olympe de Gouges Cété pair allant des n° 30 a 34 et tout le cété impair"
"527","PARISIENNE IMPASSE DE LA PARISIENNE","Périmétre : Périmetre Maternelle Pasteur Cété pair allant des n° 2 a 28 et cdté impair sans les n°"
"528","PARISIENNE IMPASSE DE LA PARISIENNE","Périmétre : Périmétre Elémentaire Louis Pasteur Tout le cété pair et tout le cdté impair"
"530","PARKS RUE ROSA PARKS","Périmétre : Périmetre Elementaire Leo Lagrange Tout le cété pair et tout le cété impair"
"532","PARMENTIER VILLA PARMENTIER","Périmétre : Périmetre Elémentaire R.Salengro J.Bethinger Tout le cété pair et tout le cété impair"
"533","PARMENTIER VILLA PARMENTIER","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le coté impair"
"535","PASSE AUX DAIMS ALLEE DE LA PASSE AUX DAIMS","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"536","PASSE AUX DAIMS ALLEE DE LA PASSE AUX DAIMS","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair"
"538","PASTEUR AVENUE PASTEUR","Périmétre : Périmetre Maternelle Camille Claudel Cété pair allant des n° 2 a 14 et cdté impair allant des n° 1 a 23"
"539","PASTEUR AVENUE PASTEUR","Périmétre : Périmetre Elementaire Camille Claudel Cété pair allant des n° 2 a 14 et cdté impair allant des n° 1 a 23"
"540","PASTEUR AVENUE PASTEUR","Périmétre : Périmetre Maternelle Léo Lagrange Cété pair allant des n° 16 a 998 et cdté impair allant des n° 25 a 999"
"541","PASTEUR AVENUE PASTEUR","Périmétre : Périmetre Elémentaire Léo Lagrange Cété pair allant des n° 16 a 998 et cdté impair allant des n° 25 a 999"
"543","PAUL RUE MARCEL PAUL","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cété impair"
"544","PAUL RUE MARCEL PAUL","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"547","PENSEES ALLEE DES PENSEES","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le cété impair"
