fid,NATURE,IMPORTANCE,NOMnumero,NOM,NOM_1_G,usage,rueStationnement2024_fid,rueStationnement2024_usage,rueStationnement2024_IMPORTANCE,rueStationnement2024_couleur,rueStationnement2024_nom,rueStationnement2024_couleur.1,rueStationnement2024_auxiliary_storage_labeling_show,rueStationnement2024_auxiliary_storage_labeling_positionx,rueStationnement2024_auxiliary_storage_labeling_positiony,rueStationnement2024_auxiliary_storage_labeling_lineanchorpercent,rueStationnement2024_auxiliary_storage_labeling_lineanchorclipping,rueStationnement2024_auxiliary_storage_labeling_lineanchortype,rueStationnement2024_auxiliary_storage_labeling_lineanchortextpoint
"151",ALL,"5",,DES PENSEES,ALL DES PENSEES,privé,,,,,,,,,,,,,
"152",PAS,"6",,DES DEUX VILLES,PAS DES DEUX VILLES,piéton,,,,,,,,,,,,,
"153",R,"6",,JACQUELINE AURIOL,R JACQUELINE AURIOL,privé,,,,,,,,,,,,,
"155",R,"5",,DE MEAUX,R DE MEAUX,,,,,,,,,,,,,,
"156",R,"5",,DU FEA CHEVAL,R DU FER A CHEVAL,privé,,,,,,,,,,,,,
"157",R,"5",,CHARLES MAGNE,R CHARLES MAGNE,privé,,,,,,,,,,,,,
"158",R,"5",,EUGENE VARLIN,R EUGENE VARLIN,,,,,,,,,,,,,,
"159",IMP,"5",,DES VIOLETTES,IMP DES VIOLETTES,privé,,,,,,,,,,,,,
"161","4","6",ALL MANET,"4","4",privé,,,,,,,,,,,,,
"162",ALL,"5",,DES TULIPES,ALL DES TULIPES,privé,,,,,,,,,,,,,
"163",R,"5",,HENRI MOULY,R HENRI MOULY,privé,,,,,,,,,,,,,
"164",ALL,"5",,ESPERANTO,ALL ESPERANTO,,,,,,,,,,,,,,
"165",ALL,"5",,DES PINSONS,ALL DES PINSONS,,,,,,,,,,,,,,
"166",ALL,"5",,DES ANEMONES,ALL DES ANEMONES,privé,,,,,,,,,,,,,
"167",ALL,"5",,DES LAURIERS,ALL DES LAURIERS,privé,,,,,,,,,,,,,
"170","14","5",R RENE DUMONT,"14","14",public,,,,,,,,,,,,,
"171",R,"5",,RABELAIS,R RABELAIS,privé,,,,,,,,,,,,,
"172",ALL,"5",,MONTPLAISIR,ALL MONTPLAISIR,,,,,,,,,,,,,,
"173",AV,"4",,ANATOLE FRANCE,AV ANATOLE FRANCE,,,,,,,,,,,,,,
"174",AV,"4",,DE VERDUN,AV DE VERDUN,,,,,,,,,,,,,,
"175",ALL,"5",,RACINE,ALL RACINE,,,,,,,,,,,,,,
"176",ALL,"5",,DES LILAS,ALL DES LILAS,privé,,,,,,,,,,,,,
"177",ALL,"5",,JEAN COURTADE,ALL JEAN COURTADE,privé,,,,,,,,,,,,,
"178",ALL,"5",,DE LA CONCORDE,ALL DE LA CONCORDE,,,,,,,,,,,,,,
"179",MAIL,"6",,PANTAGRUEL,MAIL PANTAGRUEL,,,,,,,,,,,,,,
"181",R,"5",,RUDYARD KIPLING,R RUDYARD KIPLING,,,,,,,,,,,,,,
"182",R,"4",,DU VERGER,R DU VERGER,,,,,,,,,,,,,,
"183",ALL,"5",,ANNE SYLVESTRE,ALL ANNE SYLVESTRE,public,,,,,,,,,,,,,
"185",AV,"5",,DUMESNIL,AV DUMESNIL,,,,,,,,,,,,,,
"186",R,"5",,DE VERSAILLES,R DE VERSAILLES,,,,,,,,,,,,,,
"187",R,"5",,PIERRE BROSSOLETTE,R PIERRE BROSSOLETTE,,,,,,,,,,,,,,
"189",R,"5",,RENE CHAR,R RENE CHAR,,,,,,,,,,,,,,
"190",R,"5",,MARCEL DASSAULT,R MARCEL DASSAULT,,,,,,,,,,,,,,
"192",R,"5",,COMPAGNON,R COMPAGNON,,,,,,,,,,,,,,
"193",ALL,"5",,SAN MARTIN,ALL SAN MARTIN,,,,,,,,,,,,,,
"194",ALL,"5",,ALICE,ALL ALICE,,,,,,,,,,,,,,
"195",R,"5",,DU POTAGER,R DU POTAGER,privé,,,,,,,,,,,,,
