"","NOM","NATURE","NOM2","raccourci"
"313","R PROFESSEUR VAILLANT","R","PROFESSEUR VAILLANT","Saule"
"314","R PROGRES","R","PROGRES","Saule"
"315","R RABELAIS","R","RABELAIS","NC-TSB"
"316","R RAOUL","R","RAOUL","Saule"
"317","R RENE CHAR","R","RENE CHAR","MVeuve"
"318","R RENE DUMONT","R","RENE DUMONT","MVeuve"
"319","R ROBERT BONNET","R","ROBERT BONNET","Saule"
"320","R ROBERT DOUVILLEZ","R","ROBERT DOUVILLEZ","Saule"
"321","R ROGER PANNEQUIN","R","ROGER PANNEQUIN","NC-TSB"
"322","R ROGER SALENGRO","R","ROGER SALENGRO","MVeuve Mainguy"
"323","R ROMAIN ROLLAND","R","ROMAIN ROLLAND","Merisiers"
"324","R RUDYARD KIPLING","R","RUDYARD KIPLING","MVeuve"
"325","R SAINT-LOUIS","R","SAINT-LOUIS","MVeuve"
"326","R SAINT-LOUIS PROLONGEE","R","SAINT-LOUIS PROLONGEE","MVeuve"
"327","R SAINTE-BARBE","R","SAINTE-BARBE","Mainguy"
"328","R SERGENT BOBILLOT","R","SERGENT BOBILLOT","Mainguy"
"329","R SIMONE DE BEAUVOIR","R","SIMONE DE BEAUVOIR","Saule"
"330","R SIMONE VEIL","R","SIMONE VEIL","NC-TSB"
"331","R SOLIDARITE","R","SOLIDARITE","Saule"
"332","R SUZANNE BLIN","R","SUZANNE BLIN","NC-TSB"
"333","R TERRE SAINT-BLAISE","R","TERRE SAINT-BLAISE","NC-TSB"
"334","R THEODORE MONOD","R","THEODORE MONOD","MVeuve"
"335","R TREMEUGE","R","TREMEUGE","Saule"
"336","R TRINQUAMELLE","R","TRINQUAMELLE","NC-TSB"
"337","R UNION","R","UNION","Saule"
"338","R VARSOVIE","R","VARSOVIE","MVeuve"
"339","R VERGER","R","VERGER","NC-TSB"
"340","R VERSAILLES","R","VERSAILLES","NC-TSB"
"341","R VIEUX CHATEAU","R","VIEUX CHATEAU","MVeuve Saule"
"342","R VIEUX MOULIN","R","VIEUX MOULIN","Mainguy"
"343","R YVONNE","R","YVONNE","Mainguy"
"344","RLE SAINTE-BARBE","RLE","SAINTE-BARBE","Mainguy"
"345","RPE PONT","RPE","PONT","MVeuve"
"346","RPT BUISSON","RPT","BUISSON","NC-TSB"
"347","RPT JOUHAUX","RPT","JOUHAUX","NC-TSB"
"348","RPT VERGER","RPT","VERGER","NC-TSB"
"349","RTE AULNAY","RTE","AULNAY","Merisiers NC-TSB"
"350","RTE STAINS","RTE","STAINS","Mainguy NC-TSB"
"351","RTE VILLEMOMBLE","RTE","VILLEMOMBLE","MVeuve"
"352","Sans Sans nom","Sans","Sans nom","MVeuve MVeuve MVeuve Mainguy Mainguy Saule Saule Merisiers Merisiers Merisiers Merisiers Merisiers Merisiers NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB"
"353","Sans Sans nom","Sans","Sans nom","MVeuve MVeuve MVeuve Mainguy Mainguy Saule Saule Merisiers Merisiers Merisiers Merisiers Merisiers Merisiers NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB"
"354","Sans Sans nom","Sans","Sans nom","MVeuve MVeuve MVeuve Mainguy Mainguy Saule Saule Merisiers Merisiers Merisiers Merisiers Merisiers Merisiers NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB"
"355","Sans Sans nom","Sans","Sans nom","MVeuve MVeuve MVeuve Mainguy Mainguy Saule Saule Merisiers Merisiers Merisiers Merisiers Merisiers Merisiers NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB"
"356","Sans Sans nom","Sans","Sans nom","MVeuve MVeuve MVeuve Mainguy Mainguy Saule Saule Merisiers Merisiers Merisiers Merisiers Merisiers Merisiers NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB"
"357","Sans Sans nom","Sans","Sans nom","MVeuve MVeuve MVeuve Mainguy Mainguy Saule Saule Merisiers Merisiers Merisiers Merisiers Merisiers Merisiers NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB NC-TSB"
