"","numero","nom_voie","nom"
"226762",7,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226763",8,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226764",9,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226765",10,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226766",12,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226767",13,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226768",14,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226769",15,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226770",16,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226771",17,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226772",18,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226773",19,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226774",20,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226775",21,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226776",22,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226777",23,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226778",24,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226779",26,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226780",27,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226781",28,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226782",29,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226783",30,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226784",31,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226785",33,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226786",35,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226787",36,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226788",37,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226789",39,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226790",10,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226791",23,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226792",23,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226793",13,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226794",1,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226795",23,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226796",1,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226797",26,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226798",23,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226799",3,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226800",21,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226801",9,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
"226802",1,"Rue David Léder","la mare à la Veuve la remise à Jorelle"
