"","NOM","case","NATURE","NOM2","raccourci"
"281","R LOUIS AUGUSTE BLANQUI","4B","R","LOUIS AUGUSTE BLANQUI","Mainguy Saule"
"282","R LOUIS LEON COLLIGNON","3B","R","LOUIS LEON COLLIGNON","Saule"
"283","R LUCIE AUBRAC","2E","R","LUCIE AUBRAC","NC-TSB"
"284","R LUCIEN CHAPELAIN","3E","R","LUCIEN CHAPELAIN","Merisiers"
"285","R MARAICHERS","1C","R","MARAICHERS","Mainguy"
"286","R MARCEL DASSAULT","2A","R","MARCEL DASSAULT","MVeuve"
"287","R MARCEL PAUL","3A","R","MARCEL PAUL","MVeuve"
"288","R MARCELLIN BERTHELOT","4D","R","MARCELLIN BERTHELOT","Saule"
"289","R MARGUERITE DURAS","3B","R","MARGUERITE DURAS","MVeuve"
"290","R MARTIN LUTHER KING","3B","R","MARTIN LUTHER KING","Saule"
"291","R MEAUX","3E","R","MEAUX","NC-TSB"
"292","R MICHELET","1C","R","MICHELET","Mainguy"
"293","R MIDI","2B","R","MIDI","MVeuve"
"294","R MOLERET","3B","R","MOLERET","Saule"
"295","R NADIA MURAD","2D","R","NADIA MURAD","Merisiers NC-TSB"
"296","R NEUVE","3C","R","NEUVE","Mainguy Saule"
"297","R NOEMIE","3C","R","NOEMIE","Saule"
"298","R ODETTE PAIN","2E","R","ODETTE PAIN","NC-TSB"
"299","R PANURGE","2F","R","PANURGE","NC-TSB"
"300","R PARIS","1D","R","PARIS","Mainguy"
"301","R PAUL ELUARD","3C","R","PAUL ELUARD","Saule"
"302","R PAUL RENAUD","2E","R","PAUL RENAUD","Merisiers NC-TSB"
"303","R PAUL VAILLANT COUTURIER","2C","R","PAUL VAILLANT COUTURIER","Mainguy"
"304","R PAULINE ROGER","2B","R","PAULINE ROGER","MVeuve"
"305","R PEUPLIERS","2B","R","PEUPLIERS","MVeuve"
"306","R PHILEAS COLLARDEAU","1C","R","PHILEAS COLLARDEAU","Mainguy"
"307","R PHILOSOPHIE","4B","R","PHILOSOPHIE","MVeuve"
"308","R PIERRE BROSSOLETTE","3C","R","PIERRE BROSSOLETTE","Saule"
"309","R PIERRE DE RONSARD","3E","R","PIERRE DE RONSARD","Merisiers"
"310","R PLAISANCE","4B","R","PLAISANCE","Saule"
"311","R POTAGER","1C","R","POTAGER","Mainguy"
"312","R PRESSENSE","4C","R","PRESSENSE","Saule"
"313","R PROFESSEUR VAILLANT","3C","R","PROFESSEUR VAILLANT","Saule"
"314","R PROGRES","4B","R","PROGRES","Saule"
"315","R RABELAIS","3F","R","RABELAIS","NC-TSB"
"316","R RAOUL","4C","R","RAOUL","Saule"
"317","R RENE CHAR","3B","R","RENE CHAR","MVeuve"
"318","R RENE DUMONT","3B","R","RENE DUMONT","MVeuve"
"319","R ROBERT BONNET","3D","R","ROBERT BONNET","Saule"
"320","R ROBERT DOUVILLEZ","4D","R","ROBERT DOUVILLEZ","Saule"
"321","R ROGER PANNEQUIN","2E","R","ROGER PANNEQUIN","NC-TSB"
"322","R ROGER SALENGRO","2B","R","ROGER SALENGRO","MVeuve Mainguy"
"323","R ROMAIN ROLLAND","4F","R","ROMAIN ROLLAND","Merisiers"
"324","R RUDYARD KIPLING","3B","R","RUDYARD KIPLING","MVeuve"
"325","R SAINT-LOUIS","4A","R","SAINT-LOUIS","MVeuve"
"326","R SAINT-LOUIS PROLONGEE","3A","R","SAINT-LOUIS PROLONGEE","MVeuve"
"327","R SAINTE-BARBE","2C","R","SAINTE-BARBE","Mainguy"
"328","R SERGENT BOBILLOT","1B","R","SERGENT BOBILLOT","Mainguy"
"329","R SIMONE DE BEAUVOIR","3B","R","SIMONE DE BEAUVOIR","Saule"
"330","R SIMONE VEIL","2D","R","SIMONE VEIL","NC-TSB"
"331","R SOLIDARITE","3B","R","SOLIDARITE","Saule"
"332","R SUZANNE BLIN","2E","R","SUZANNE BLIN","NC-TSB"
"333","R TERRE SAINT-BLAISE","2F","R","TERRE SAINT-BLAISE","NC-TSB"
"334","R THEODORE MONOD","3B","R","THEODORE MONOD","MVeuve"
"335","R TREMEUGE","4C","R","TREMEUGE","Saule"
"336","R TRINQUAMELLE","2F","R","TRINQUAMELLE","NC-TSB"
"337","R UNION","3B","R","UNION","Saule"
"338","R VARSOVIE","2B","R","VARSOVIE","MVeuve"
"339","R VERGER","2F","R","VERGER","NC-TSB"
"340","R VERSAILLES","2E","R","VERSAILLES","NC-TSB"
"341","R VIEUX CHATEAU","2B","R","VIEUX CHATEAU","MVeuve Saule"
"342","R VIEUX MOULIN","1B","R","VIEUX MOULIN","Mainguy"
"343","R YVONNE","2C","R","YVONNE","Mainguy"
"344","RLE SAINTE-BARBE","2C","RLE","SAINTE-BARBE","Mainguy"
"345","RPE PONT","2B","RPE","PONT","MVeuve"
"346","RPT BUISSON","2E","RPT","BUISSON","NC-TSB"
"347","RPT JOUHAUX","2F","RPT","JOUHAUX","NC-TSB"
"348","RPT VERGER","2F","RPT","VERGER","NC-TSB"
"349","RTE AULNAY","2D","RTE","AULNAY","Merisiers NC-TSB"
"350","RTE STAINS","1D","RTE","STAINS","Mainguy NC-TSB"
"351","RTE VILLEMOMBLE","2B","RTE","VILLEMOMBLE","MVeuve"
"676","SEN BLERIOT","3B","SEN","BLERIOT","Saule"
"677","SEN PIERRE BOURDIEU","3B","SEN","PIERRE BOURDIEU","MVeuve"
"678","SEN RENE CHAR","3A","SEN","RENE CHAR","MVeuve"
"679","SQ 8 MAI 1945","2C","SQ","8 MAI 1945","Mainguy Saule"
"680","VLA ABEILLES","1B","VLA","ABEILLES","Mainguy"
"681","VLA BRECHET","2B","VLA","BRECHET","Mainguy"
"682","VLA BREUIL","2C","VLA","BREUIL","Mainguy"
"683","VLA CARNOT","2C","VLA","CARNOT","Saule"
"684","VLA CERISES","4D","VLA","CERISES","Saule"
"685","VLA FLEURY","2D","VLA","FLEURY","Mainguy NC-TSB"
"686","VLA GABRIEL SEAILLES","1C","VLA","GABRIEL SEAILLES","Mainguy"
"687","VLA LAVIGNE","2C","VLA","LAVIGNE","Saule"
"688","VLA MADELEINE","2B","VLA","MADELEINE","MVeuve Saule"
"689","VLA MARRONNIERS","2B","VLA","MARRONNIERS","Mainguy"
"690","VLA PARMENTIER","2C","VLA","PARMENTIER","Mainguy"
"691","VLA THOREL","2D","VLA","THOREL","Mainguy"
